time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-04T07:30:00.842Z,61.2362,-150.6625,41.2,2.6,ml,,,,0.5,ak,ak20270810,2018-10-04T09:32:08.040Z,"40km W of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T07:14:28.460Z,18.8741,-67.9858,133,3.11,md,8,202,0.535,0.42,pr,pr2018277008,2018-10-04T11:41:14.779Z,"54km NE of Punta Cana, Dominican Republic",earthquake,6.23,3.46,0.31,6,reviewed,pr,pr
2018-10-04T07:08:17.070Z,36.9566,71.5667,129.71,4.4,mb,,73,0.577,0.5,us,us1000h6uq,2018-10-04T07:25:27.040Z,"26km N of Ishkashim, Tajikistan",earthquake,7.3,12.8,0.24,5,reviewed,us,us
2018-10-04T06:58:56.310Z,32.8111667,-115.4566667,11.91,2.52,ml,38,36,0.01016,0.26,ci,ci37378674,2018-10-04T18:06:45.896Z,"7km W of Holtville, CA",earthquake,0.29,0.41,0.168,68,reviewed,ci,ci
2018-10-04T06:17:30.290Z,22.12,120.4548,34.62,4.3,mb,,116,0.903,0.87,us,us1000h6ui,2018-10-04T06:56:35.040Z,"32km WNW of Hengchun, Taiwan",earthquake,8.5,7.6,0.116,21,reviewed,us,us
2018-10-04T05:07:20.030Z,-18.054,-178.6064,541.98,4.2,mb,,74,3.195,0.88,us,us1000h6u7,2018-10-04T07:26:42.040Z,"280km SE of Lambasa, Fiji",earthquake,11.8,8.8,0.056,87,reviewed,us,us
2018-10-04T04:16:21.000Z,-17.8648,-178.5383,579.32,5.5,mww,,36,3.249,1.05,us,us1000h6th,2018-10-04T19:32:38.040Z,"273km SE of Lambasa, Fiji",earthquake,10.3,6.5,0.069,20,reviewed,us,us
2018-10-04T03:55:17.520Z,-36.1573,52.5161,10,4.8,mb,,86,12.12,0.65,us,us1000h6ta,2018-10-04T04:11:06.040Z,"Southwest Indian Ridge",earthquake,10.5,1.6,0.139,16,reviewed,us,us
2018-10-04T03:46:57.000Z,18.9446,-64.0451,31,3.58,md,13,235,1.3195,0.37,pr,pr2018277000,2018-10-04T04:57:09.972Z,"83km NE of Road Town, British Virgin Islands",earthquake,3.65,27.14,0.19,12,reviewed,pr,pr
2018-10-04T03:41:33.020Z,56.0662,163.8376,11.54,5.1,mb,,73,4.291,1,us,us1000h6t5,2018-10-04T04:05:02.040Z,"86km ESE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.4,3.7,0.029,377,reviewed,us,us
2018-10-04T03:11:57.986Z,69.5775,-144.1644,0.1,3.4,ml,,,,0.68,ak,ak20270640,2018-10-04T15:58:34.040Z,"66km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T03:00:13.720Z,68.8919,-147.7487,0.1,2.9,ml,,,,0.6,ak,ak20270632,2018-10-04T03:09:49.581Z,"124km NW of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T02:54:26.800Z,69.5414,-143.8755,2.5,2.8,ml,,,,0.75,ak,ak20270626,2018-10-04T03:00:09.695Z,"66km S of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-04T02:07:22.310Z,19.1056,-67.9441,72,2.85,md,4,213,1.38,0.44,pr,pr2018277004,2018-10-04T09:32:49.670Z,"75km NE of Punta Cana, Dominican Republic",earthquake,5.34,8.87,0.32,4,reviewed,pr,pr
2018-10-04T01:48:57.713Z,69.5727,-144.1441,4.5,2.8,ml,,,,0.53,ak,ak20270446,2018-10-04T02:00:00.029Z,"65km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-04T01:42:48.786Z,68.924,-147.7609,0,3.2,ml,,,,0.82,ak,ak20270439,2018-10-04T01:55:35.249Z,"127km NW of Arctic Village, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-04T01:11:40.093Z,68.8741,-147.7722,7.9,3.1,ml,,,,0.57,ak,ak20270427,2018-10-04T01:17:40.508Z,"123km NW of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T00:19:25.680Z,19.351,-68.4435,66,2.72,md,8,246,0.8394,0.61,pr,pr2018277003,2018-10-04T09:32:09.951Z,"75km ENE of Miches, Dominican Republic",earthquake,3.79,8.41,0.15,7,reviewed,pr,pr
2018-10-04T00:08:21.392Z,55.8968,-149.2275,7.2,3.1,ml,,,,0.61,ak,ak20270410,2018-10-04T01:00:54.960Z,"286km SE of Kodiak, Alaska",earthquake,,3.9,,,reviewed,ak,ak
2018-10-04T00:02:26.910Z,19.0896,-67.667,82,2.82,md,10,215,0.8342,0.54,pr,pr2018277001,2018-10-04T09:29:48.886Z,"89km NW of San Antonio, Puerto Rico",earthquake,4.66,7.43,0.3,10,reviewed,pr,pr
2018-10-03T23:59:42.790Z,-56.1601,-27.1846,75.39,5.2,mb,,61,18.64,0.79,us,us1000h6q0,2018-10-04T00:58:47.040Z,"60km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.1,5.4,0.092,39,reviewed,us,us
2018-10-03T23:53:02.460Z,30.7125,57.2939,10,4.3,mb,,82,5.557,0.77,us,us1000h6pj,2018-10-04T00:20:00.040Z,"51km NNE of Kerman, Iran",earthquake,6.3,1.9,0.101,28,reviewed,us,us
2018-10-03T23:51:17.330Z,15.2728,-90.9576,10,4,mb,,91,0.527,1.11,us,us1000h6pi,2018-10-04T00:10:46.040Z,"7km NW of San Andres Sajcabaja, Guatemala",earthquake,3.3,1.5,0.119,19,reviewed,us,us
2018-10-03T21:44:21.970Z,7.0935,125.8286,49,4.4,mb,,122,0.248,1.08,us,us1000h6lu,2018-10-03T22:39:42.040Z,"5km ESE of Aumbay, Philippines",earthquake,8,5.6,0.124,19,reviewed,us,us
2018-10-03T17:52:48.620Z,56.7542,162.0301,10,4.9,mb,,121,4.217,1.02,us,us1000h6f3,2018-10-03T18:11:45.040Z,"64km NNW of Ust'-Kamchatsk Staryy, Russia",earthquake,6.8,1.8,0.041,186,reviewed,us,us
2018-10-03T17:50:24.071Z,69.5488,-144.9206,13.5,3.5,ml,,,,0.49,ak,ak20270261,2018-10-03T18:35:22.043Z,"81km SW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-10-03T17:16:52.419Z,56.1866,-148.7056,10,3.2,ml,,,,0.77,ak,ak20270249,2018-10-03T18:29:23.515Z,"287km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-10-03T17:13:54.765Z,56.2093,-148.646,12,3.5,ml,,,,0.66,ak,ak20270242,2018-10-03T18:25:09.270Z,"288km SE of Kodiak, Alaska",earthquake,,4.9,,,reviewed,ak,ak
2018-10-03T15:53:26.160Z,-10.4057,120.1101,10,4.5,mb,,84,2.738,1.1,us,us1000h6b5,2018-10-03T21:43:26.040Z,"25km S of Lailunggi, Indonesia",earthquake,8,1.9,0.115,22,reviewed,us,us
2018-10-03T15:15:32.880Z,35.7894,140.9742,33.59,4.8,mb,,118,2.08,1.32,us,us1000h6ac,2018-10-05T17:56:49.925Z,"14km ENE of Hasaki, Japan",earthquake,6.7,5.2,0.065,74,reviewed,us,us
2018-10-03T12:38:05.120Z,-10.4392,120.1283,10,5.3,mb,,80,2.745,1.2,us,us1000h68e,2018-10-04T21:25:06.040Z,"29km SSW of Nggongi, Indonesia",earthquake,6.3,1.7,0.071,66,reviewed,us,us
2018-10-03T12:03:18.540Z,56.261,-150.0118,10,3.6,ml,,184,2.045,0.53,us,us1000h681,2018-10-03T18:17:52.688Z,"223km SE of Kodiak, Alaska",earthquake,8,2,0.043,70,reviewed,us,us
2018-10-03T11:53:58.690Z,-10.5748,120.3166,10,4.6,mb,,79,2.702,0.92,us,us1000h67z,2018-10-03T12:17:07.040Z,"43km SSE of Nggongi, Indonesia",earthquake,7,1.9,0.082,44,reviewed,us,us
2018-10-03T11:45:59.360Z,18.8263,-66.2545,29,2.78,md,14,263,0.4445,0.19,pr,pr2018276006,2018-10-03T12:16:55.385Z,"40km N of Dorado, Puerto Rico",earthquake,0.86,3.11,0.23,7,reviewed,pr,pr
2018-10-03T09:58:06.080Z,-10.5439,120.2732,10,5,mww,,79,2.71,1.04,us,us1000h66t,2018-10-03T10:17:43.040Z,"38km S of Nggongi Satu, Indonesia",earthquake,5.6,1.8,0.075,17,reviewed,us,us
2018-10-03T09:38:08.758Z,63.2346,-151.4963,1.2,2.7,ml,,,,1.01,ak,ak20270182,2018-10-03T09:43:18.414Z,"123km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-03T09:28:04.880Z,36.2148,-98.9511,5,2.9,mb_lg,,114,0.312,0.25,us,us1000h66f,2018-10-03T09:43:17.040Z,"19km N of Taloga, Oklahoma",earthquake,1,1.8,0.052,95,reviewed,us,us
2018-10-03T09:22:55.685Z,68.7616,-147.4969,0,2.9,ml,,,,0.78,ak,ak20270175,2018-10-03T09:28:41.459Z,"107km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-03T09:09:32.002Z,68.7576,-147.5115,0,2.6,ml,,,,0.77,ak,ak20270126,2018-10-03T09:14:44.203Z,"107km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-03T07:36:41.480Z,37.3637,-97.9833,5,3.5,mb_lg,,90,0.067,0.3,us,us1000h656,2018-10-06T01:08:55.872Z,"9km NNE of Harper, Kansas",earthquake,1.4,1.6,0.042,146,reviewed,us,us
2018-10-03T07:21:28.370Z,53.5244,158.9335,113,4.6,mb,,115,0.53,0.64,us,us1000h651,2018-10-03T07:58:47.040Z,"52km NE of Yelizovo, Russia",earthquake,10.8,6.6,0.044,157,reviewed,us,us
2018-10-03T07:01:56.870Z,17.9913,-67.6238,34,2.65,md,16,287,0.4189,0.39,pr,pr2018276004,2018-10-03T11:28:08.984Z,"46km W of Pole Ojea, Puerto Rico",earthquake,1.76,3.31,0.31,14,reviewed,pr,pr
2018-10-03T05:46:18.690Z,-28.1248,-176.1835,10,4.9,mb,,112,1.896,1.59,us,us1000h63l,2018-10-03T06:17:56.040Z,"210km NE of Raoul Island, New Zealand",earthquake,9.1,1.9,0.099,32,reviewed,us,us
2018-10-03T05:23:24.570Z,-10.3875,160.6499,10,5.3,mb,,64,1.169,1.13,us,us1000h639,2018-10-04T19:05:46.040Z,"130km SE of Honiara, Solomon Islands",earthquake,7.9,1.9,0.08,52,reviewed,us,us
2018-10-03T04:12:58.530Z,53.1858,-168.6393,82.7,4.6,mb,,98,1.83,0.86,us,us1000h62f,2018-10-03T04:52:34.518Z,"31km NNE of Nikolski, Alaska",earthquake,3.2,11.8,0.042,166,reviewed,us,us
2018-10-03T03:29:37.626Z,64.892,-148.9228,19.4,3.9,ml,,,,0.66,ak,ak20269968,2018-10-05T06:29:54.045Z,"44km N of North Nenana, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2018-10-03T02:54:50.640Z,-21.5319,-65.5635,282.04,4.6,mb,,35,2.805,1.23,us,us1000h61k,2018-10-03T03:19:03.040Z,"18km ESE of Tupiza, Bolivia",earthquake,6.5,6.5,0.036,227,reviewed,us,us
2018-10-03T02:24:08.210Z,19.6035,-67.9508,84,3.1,md,5,259,1.1715,0.08,pr,pr2018276001,2018-10-03T04:45:54.465Z,"122km NNE of Punta Cana, Dominican Republic",earthquake,2.97,6.25,0.29,4,reviewed,pr,pr
2018-10-03T00:23:04.220Z,-24.2956,-67.0851,205.46,4.2,mb,,57,1.671,0.97,us,us1000h60l,2018-10-03T00:56:29.040Z,"78km W of San Antonio de los Cobres, Argentina",earthquake,11.4,14.2,0.216,6,reviewed,us,us
2018-10-02T21:38:40.640Z,-10.8642,109.5086,10,4.5,mb,,169,3.099,0.67,us,us1000h5xr,2018-10-02T22:04:38.040Z,"South of Java, Indonesia",earthquake,8.7,2,0.135,16,reviewed,us,us
2018-10-02T21:37:35.155Z,40.5864,-119.7358,0.9,2.8,ml,18,192.16,0.493,0.2092,nn,nn00659351,2018-10-03T02:06:08.748Z,"30km W of Gerlach-Empire, Nevada",earthquake,,2.5,0.25,10,reviewed,nn,nn
